公司全名,公司规模,职位名称,薪资水平,工作经验,学历要求,区域,职位福利,工作年限,经验,salary,月工资
滴滴出行,2000人以上,高级测试开发工程师,20k-40k,3-5年,本科,海淀区,"核心业务,团队氛围好,员工福利好","['3', '5']",4.0,"['20', '40']",25.0
VIPKID,2000人以上,测试开发工程师(J10089),25k-30k,3-5年,本科,东城区,六险一金 交通便利,"['3', '5']",4.0,"['25', '30']",26.25
陌陌,500-2000人,测试开发工程师,15k-30k,3-5年,本科,朝阳区,"完善的福利,竞争力薪酬,技术氛围好,上升空间大","['3', '5']",4.0,"['15', '30']",18.75
字节跳动,2000人以上,高级测试开发工程师,25k-45k,3-5年,本科,海淀区,六险一金，弹性工作，免费三餐，租房补贴，休闲下午茶，团队氛围好，优厚薪资,"['3', '5']",4.0,"['25', '45']",30.0
美团点评,2000人以上,高级测试开发工程师,25k-45k,3-5年,本科,朝阳区,"超值期权,丰厚福利,爆发机会,大牛团队","['3', '5']",4.0,"['25', '45']",30.0
京东集团,2000人以上,高级测试开发工程师-服务端,25k-50k,不限,本科,大兴区,"班车,周末双休,饭补,健身房",[],0.0,"['25', '50']",31.25
一点资讯,500-2000人,资深测试开发工程师,30k-50k,5-10年,本科,朝阳区,精英团队、股票期权、弹性工作、发展空间大,"['5', '10']",7.5,"['30', '50']",35.0
多贝网,50-150人,软件测试开发工程师,20k-30k,3-5年,本科,海淀区,"六险一金,极客氛围,不打卡,免费午餐","['3', '5']",4.0,"['20', '30']",22.5
滴滴出行,2000人以上,测试开发专家(J180712001),20k-40k,3-5年,本科,海淀区,领导nice，团队合作，薪资福利,"['3', '5']",4.0,"['20', '40']",25.0
乐融集团,2000人以上,客户端测试开发工程师,15k-30k,3-5年,本科,朝阳区,优秀团队、技术氛围,"['3', '5']",4.0,"['15', '30']",18.75
勇创装潢,2000人以上,高级测试开发工程师,25k-50k,3-5年,本科,朝阳区,上市公司16薪 p7p8p9六险一金,"['3', '5']",4.0,"['25', '50']",31.25
悠易,150-500人,高级测试开发工程师 测试开发,15k-25k,3-5年,本科,朝阳区,"行业领先,大牛导师,技术驱动,海外年会","['3', '5']",4.0,"['15', '25']",17.5
波场TRON,150-500人,测试开发工程师,15k-20k,1-3年,本科,海淀区,技术大牛 五险一金 区块链技术,"['1', '3']",2.0,"['15', '20']",16.25
NIO蔚来,2000人以上,服务端测试开发工程师(车联网),20k-40k,3-5年,本科,朝阳区,"六险一金,弹性办公,租房补贴,学霸团队","['3', '5']",4.0,"['20', '40']",25.0
百度,2000人以上,AI测试部_测试开发工程师,15k-23k,1-3年,本科,海淀区,"平台大,机会多","['1', '3']",2.0,"['15', '23']",17.0
贝壳,2000人以上,硬件测试开发工程师,25k-35k,5-10年,本科,海淀区,"公司氛围好,内部成长快,免费三餐,15薪","['5', '10']",7.5,"['25', '35']",27.5
玩加电竞,15-50人,测试开发工程师,8k-16k,1-3年,本科,朝阳区,"五险一金,年底双薪,弹性工作","['1', '3']",2.0,"['8', '16']",10.0
便利蜂,2000人以上,测试开发工程师,20k-35k,3-5年,本科,朝阳区,大牛带,"['3', '5']",4.0,"['20', '35']",23.75
美团点评,2000人以上,闪购事业部-测试开发专家-服务端,20k-40k,5-10年,本科,朝阳区,新业务，发展空间大，大牛云集,"['5', '10']",7.5,"['20', '40']",25.0
搜狗,2000人以上,搜狗手机输入法-测试开发工程师,15k-25k,1-3年,本科,海淀区,公司前景好 发展空间大 团队氛围好,"['1', '3']",2.0,"['15', '25']",17.5
聪明核桃教育,150-500人,测试开发工程师,18k-30k,5-10年,本科,海淀区,氛围好 成长快 技能培训,"['5', '10']",7.5,"['18', '30']",21.0
贝壳,2000人以上,硬件测试开发工程师,25k-30k,3-5年,本科,海淀区,六险二金，带薪年假,"['3', '5']",4.0,"['25', '30']",26.25
阿里妈妈,500-2000人,高级测试开发工程师,25K-50K,3-5年,本科,朝阳区,大平台，重要业务，股票期权年底双薪年终奖,"['3', '5']",4.0,"['25', '50']",31.25
猿辅导,500-2000人,测试开发工程师,15k-30k,3-5年,本科,朝阳区,不打卡 7天年假 五一九天假 国外游,"['3', '5']",4.0,"['15', '30']",18.75
阿里文娱,2000人以上,高级测试开发工程师/测试开发专家,25k-50k,3-5年,本科,朝阳区,"发展平台,技术氛围","['3', '5']",4.0,"['25', '50']",31.25
腾讯,2000人以上,高级测试开发工程师,30k-50k,3-5年,本科,海淀区,技术大咖,"['3', '5']",4.0,"['30', '50']",35.0
创新奇智,150-500人,测试开发工程师,12k-24k,3-5年,本科,海淀区,"顶尖大牛,免费午餐,商业资源多,不打卡","['3', '5']",4.0,"['12', '24']",15.0
智融集团,150-500人,测试开发工程师,20k-40k,不限,本科,海淀区,六险一金、上升空间、大牛云集、快速发展,[],0.0,"['20', '40']",25.0
饿了么星选,2000人以上,高级测试开发工程师,20k-40k,3-5年,本科,海淀区,技术氛围好，薪资待遇高，弹性工作制,"['3', '5']",4.0,"['20', '40']",25.0
京东集团,2000人以上,测试开发Leader,40k-65k,5-10年,本科,朝阳区,"500强,大平台","['5', '10']",7.5,"['40', '65']",46.25
数美,150-500人,测试开发工程师,15k-30k,1-3年,本科,朝阳区,"弹性工作,七险一金,大牛云集,晋升空间大","['1', '3']",2.0,"['15', '30']",18.75
小米,2000人以上,测试开发工程师,20k-40k,1-3年,本科,海淀区,"核心部门,大牛云集,福利好","['1', '3']",2.0,"['20', '40']",25.0
美团点评,2000人以上,高级测试开发工程师,35k-45k,3-5年,本科,朝阳区,"高薪,期权","['3', '5']",4.0,"['35', '45']",37.5
滴滴出行,2000人以上,服务端测试开发工程师,25k-35k,3-5年,本科,海淀区,"团队氛围好,业务前景好,大平台,福利优渥","['3', '5']",4.0,"['25', '35']",27.5
尊嘉金控,50-150人,测试开发工程师,10k-20k,1-3年,不限,朝阳区,"技术氛围,行业前景好,大牛多,团队棒","['1', '3']",2.0,"['10', '20']",12.5
每日优鲜,500-2000人,测试开发工程师,20k-35k,3-5年,本科,朝阳区,公司有潜力,"['3', '5']",4.0,"['20', '35']",23.75
Face++,500-2000人,测试开发架构师,30k-60k,5-10年,本科,海淀区,"扁平管理,牛人团队,AI独角兽","['5', '10']",7.5,"['30', '60']",37.5
汽车之家,2000人以上,高级测试开发工程师,20k-30k,3-5年,本科,海淀区,"发展空间大,团队氛围好","['3', '5']",4.0,"['20', '30']",22.5
车和家,2000人以上,测试开发工程师,10k-20k,1-3年,本科,朝阳区,"六险一金,扁平化管理","['1', '3']",2.0,"['10', '20']",12.5
